"OldPath","NewPath","Category"
"ADS\results\interdigital_7o_fr4_210um_r0_marki_10_14mil_via_mm_coords_rfpro.csv","projects\bfp_6_8g_i7_fr4\results\interdigital_7o_fr4_210um_r0_marki_10_14mil_via_mm_coords_rfpro.csv","result"
"ADS\results\interdigital_7o_fr4_210um_r0_marki_10_14mil_via_mm_coords_score.csv","projects\bfp_6_8g_i7_fr4\results\interdigital_7o_fr4_210um_r0_marki_10_14mil_via_mm_coords_score.csv","result"
"ADS\results\interdigital_7o_fr4_210um_round1","projects\bfp_6_8g_i7_fr4\results\interdigital_7o_fr4_210um_round1","result"
"ADS\results\interdigital_7o_fr4_210um_round2","projects\bfp_6_8g_i7_fr4\results\interdigital_7o_fr4_210um_round2","result"
"ADS\results\interdigital_7o_fr4_210um_round3","projects\bfp_6_8g_i7_fr4\results\interdigital_7o_fr4_210um_round3","result"
"ADS\results\interdigital_7o_fr4_210um_round4","projects\bfp_6_8g_i7_fr4\results\interdigital_7o_fr4_210um_round4","result"
"ADS\results\interdigital_7o_fr4_210um_round5","projects\bfp_6_8g_i7_fr4\results\interdigital_7o_fr4_210um_round5","result"
"ADS\results\interdigital_7o_fr4_210um_round6","projects\bfp_6_8g_i7_fr4\results\interdigital_7o_fr4_210um_round6","result"
"ADS\results\interdigital_7o_fr4_round7_predictions.csv","projects\bfp_6_8g_i7_fr4\results\interdigital_7o_fr4_round7_predictions.csv","result"
"ADS\results\interdigital_7o_fr4_training_dataset.csv","projects\bfp_6_8g_i7_fr4\results\interdigital_7o_fr4_training_dataset.csv","result"
"ADS\results\interdigital_9o_ro4350b_508um_v4_more_coupling_mm_coords_rfpro.csv","projects\bfp_6_8g_i7_fr4\results\interdigital_9o_ro4350b_508um_v4_more_coupling_mm_coords_rfpro.csv","result"
"ADS\results\interdigital_9o_ro4350b_508um_v4_more_coupling_mm_coords_score.csv","projects\bfp_6_8g_i7_fr4\results\interdigital_9o_ro4350b_508um_v4_more_coupling_mm_coords_score.csv","result"
"ADS\results\opt_round1","projects\bfp_6_8g_i7_fr4\results\opt_round1","result"
"ADS\results\opt_round2b","projects\bfp_6_8g_i7_fr4\results\opt_round2b","result"
"ADS\results\opt_round3","projects\bfp_6_8g_i7_fr4\results\opt_round3","result"
"ADS\results\opt_round3_l600","projects\bfp_6_8g_i7_fr4\results\opt_round3_l600","result"
"ADS\results\opt_round3_l600_smoke","projects\bfp_6_8g_i7_fr4\results\opt_round3_l600_smoke","result"
"ADS\results\r2e_l600_mm_coords_FEM_a_export.txt","projects\bfp_6_8g_i7_fr4\results\r2e_l600_mm_coords_FEM_a_export.txt","result"
"ADS\results\r2e_l600_mm_coords_FEM_a_s11_s21_s22_api.txt","projects\bfp_6_8g_i7_fr4\results\r2e_l600_mm_coords_FEM_a_s11_s21_s22_api.txt","result"
"ADS\results\r2e_l600_mm_coords_FEM_a_s21_api.txt","projects\bfp_6_8g_i7_fr4\results\r2e_l600_mm_coords_FEM_a_s21_api.txt","result"
"ADS\results\r2e_l600_mm_coords_FEM_a_score.csv","projects\bfp_6_8g_i7_fr4\results\r2e_l600_mm_coords_FEM_a_score.csv","result"
"ADS\results\r2e_l600_score_only_fitted.txt","projects\bfp_6_8g_i7_fr4\results\r2e_l600_score_only_fitted.txt","result"
"ADS\results\r2e_l600_score_only_score.csv","projects\bfp_6_8g_i7_fr4\results\r2e_l600_score_only_score.csv","result"
"ADS\results\sweep_summary.csv","projects\bfp_6_8g_i7_fr4\results\sweep_summary.csv","result"
